,team,date,FOR_Set_Piece_Threat_RA20,FOR_Set_Piece_Threat_RA20_pct,FOR_Final_SP_Threat,FOR_Final_SP,FOR_Total_Shot_Threat_RA20,FOR_Shot_Threat_Cluster_0_RA20,FOR_Shot_Threat_Cluster_1_RA20,FOR_Shot_Threat_Cluster_2_RA20,FOR_Shot_Threat_Cluster_3_RA20,FOR_Shot_Threat_Cluster_4_RA20,FOR_Shot_Threat_Cluster_0_RA20_pct,FOR_Shot_Threat_Cluster_1_RA20_pct,FOR_Shot_Threat_Cluster_2_RA20_pct,FOR_Shot_Threat_Cluster_3_RA20_pct,FOR_Shot_Threat_Cluster_4_RA20_pct,AGAINST_Set_Piece_Threat_RA20,AGAINST_Set_Piece_Threat_RA20_pct,AGAINST_Final_SP_Threat,AGAINST_Final_SP,AGAINST_Total_Shot_Threat_RA20,AGAINST_Shot_Threat_Cluster_0_RA20,AGAINST_Shot_Threat_Cluster_1_RA20,AGAINST_Shot_Threat_Cluster_2_RA20,AGAINST_Shot_Threat_Cluster_3_RA20,AGAINST_Shot_Threat_Cluster_4_RA20,AGAINST_Shot_Threat_Cluster_0_RA20_pct,AGAINST_Shot_Threat_Cluster_1_RA20_pct,AGAINST_Shot_Threat_Cluster_2_RA20_pct,AGAINST_Shot_Threat_Cluster_3_RA20_pct,AGAINST_Shot_Threat_Cluster_4_RA20_pct
465,Aston Villa,2024-03-30 17:30:00,0.17757761538960032,0.15823146598801732,0.16790454068880883,0.6716181627552353,1.1222648686263708,0.3735966223292051,0.08605732223950313,0.310746987350285,0.0,0.3518639367073774,0.33289523068335886,0.07668182854626425,0.27689273364730105,0.0,0.3135302071230758,0.18246004558168344,0.28675382883035183,0.23460693720601764,0.9384277488240705,0.6362950630020349,0.17858373890630894,0.05323471520096057,0.23616531696170565,0.0,0.1683112919330597,0.2806618333069446,0.08366356788908533,0.3711569218335274,0.0,0.2645176769704426
466,Aston Villa,2024-04-03 19:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18246004558168344,0.27009155351980924,0.22627579955074634,0.9051031982029853,0.6755488766822962,0.20962236369960002,0.06029045628383748,0.2686783516779541,0.0,0.13695770502090454,0.31029932982655717,0.08924662354548103,0.39771859735370535,0.0,0.20273544927425638
467,Aston Villa,2024-04-06 14:00:00,0.19075534245930606,0.1674798377674547,0.17911759011338038,0.7164703604535215,1.1389749655965713,0.3830688045360146,0.08834932255558656,0.31752244625240555,0.0,0.35003439225256444,0.3363276771718781,0.07756915228537181,0.2787791267089825,0.0,0.30732404383376744,0.17729007503949099,0.26717348428846477,0.2222317796639779,0.8889271186559116,0.6635766102001069,0.2071617207955568,0.06070099608041339,0.2587561883032321,0.0,0.13695770502090454,0.31218960646169475,0.09147549076829051,0.38994169524028593,0.0,0.20639320752972867
468,Aston Villa,2024-04-14 15:30:00,0.19491410502232603,0.18176203571460048,0.18833807036846326,0.753352281473853,1.0723587258253242,0.39390000700950606,0.0977212183643131,0.30997122395783655,0.0,0.2707662764936686,0.36732111887871016,0.09112735879414186,0.28905553383665716,0.0,0.25249598849049093,0.17039568093605334,0.22687379038487782,0.19863473566046558,0.7945389426418623,0.7510593473445621,0.2492583969142287,0.06856568772345772,0.25702743716537946,0.0,0.17620782554149628,0.33187576693573445,0.09129197042268082,0.3422198765971332,0.0,0.2346123860444516
469,Aston Villa,2024-04-21 14:00:00,0.16172876558266572,0.15350242920650783,0.15761559739458678,0.6304623895783471,1.053590919822454,0.42111992575228197,0.09454056303948151,0.27256921622902147,0.0,0.26536121480166913,0.39969965365993004,0.08973175571351073,0.25870497847015755,0.0,0.25186361215640174,0.17039568093605334,0.2243467381387788,0.19737120953741608,0.7894848381496643,0.7595193152781573,0.2573425599839537,0.06894149258732787,0.25702743716537946,0.0,0.17620782554149628,0.3388229302499142,0.0907699003837441,0.3384080325478606,0.0,0.23199913681848108
470,Aston Villa,2024-04-27 19:00:00,0.15604029172100117,0.14620582046818933,0.15112305609459525,0.604492224378381,1.067264567315578,0.4247728319838641,0.09879132937639938,0.27833919115364547,0.0,0.26536121480166913,0.3980014374994833,0.09256498566693998,0.260796806787781,0.0,0.2486367700457958,0.17039568093605334,0.2223413720873507,0.196368526511702,0.785474106046808,0.7663696564268319,0.28378455205820485,0.07174292746931304,0.23463435135781757,0.0,0.17620782554149628,0.37029721842242436,0.0936139979808329,0.3061634152528832,0.0,0.22992536834385938
471,Aston Villa,2024-05-05 13:00:00,0.11939977728761726,0.1199608952093278,0.11968033624847253,0.4787213449938901,0.9953224930446591,0.40089688356965764,0.0914272246416657,0.2669407326728105,0.0,0.23605765216052532,0.4027808940028343,0.0918568858641914,0.2681952176688457,0.0,0.23716700246412864,0.1695526201743632,0.21798289270395485,0.19376775643915903,0.7750710257566361,0.7778253516647962,0.26317876926623274,0.07296732636168589,0.2700224440544843,0.0,0.17165681198239327,0.3383520075592106,0.0938093959081076,0.34715047983014374,0.0,0.2206881167025381
472,Aston Villa,2024-05-13 19:00:00,0.1207701723556965,0.11793023333128701,0.11935020284349175,0.47740081137396695,1.0240815178956832,0.409018413349986,0.08724140501581121,0.2917640473693609,0.0,0.23605765216052532,0.39940024910365596,0.08518990284589624,0.28490314713313775,0.0,0.2305067009173102,0.16876049679704005,0.20079701388579943,0.18477875534141974,0.739115021365679,0.8404532195534555,0.29246467440389085,0.07112179603427639,0.2679686719551682,0.0,0.20889807716012002,0.3479844774219336,0.08462314663041494,0.3188382954824585,0.0,0.2485540804651929
473,Aston Villa,2024-05-19 15:00:00,0.12615011702291662,0.12519028561157547,0.12567020131724604,0.5026808052689842,1.0076669799629596,0.4068176729604601,0.08473850046284484,0.2837086662650108,0.0,0.2324021402746439,0.4037223418548598,0.08409375532575226,0.281550027842968,0.0,0.23063387497641996,0.16876049679704005,0.1960539152949675,0.18240720604600377,0.7296288241840151,0.8607861594762651,0.27823707698844363,0.07112179603427639,0.33434787932783366,0.0,0.17707940712571144,0.32323600225836996,0.08262423280312683,0.388421532626946,0.0,0.2057182323115572
474,Aston Villa,2024-08-17 16:30:00,0.13655062764883036,0.1276611579924553,0.13210589282064283,0.5284235712825713,1.0696333152242001,0.4557732900604604,0.08573378929868329,0.26969034541398285,0.0,0.2584358904510736,0.42610236945071983,0.08015250467466328,0.2521334569290734,0.0,0.2416116689455435,0.13558618319220836,0.1560942786869249,0.14584023093956663,0.5833609237582665,0.8686172506306319,0.2585360554512589,0.05706409020349372,0.33522300776094194,0.0,0.2177940972149372,0.2976409405449374,0.06569532226313046,0.38592718198673115,0.0,0.25073655520520083
