player_id,understat_player,player_code,match_score,matched_name,matched_from,team_norm
9156,Kevin Schade,513418,1.03,Kevin Schade,full_name,brentford
9205,Jayden Bogle,226182,1.03,Jayden Bogle,full_name,leeds
9307,Iliman Ndiaye,440993,1.03,Iliman Ndiaye,full_name,everton
9780,Mathys Tel,511499,1.03,Mathys Tel,full_name,spurs
9767,Habib Diarra,547027,1.03,Habib Diarra,full_name,sunderland
9739,Kiernan Dewsbury-Hall,215413,1.03,Kiernan Dewsbury-Hall,full_name,everton
9733,Nathan Collins,432830,1.03,Nathan Collins,full_name,brentford
9680,Vitaly Janelt,204580,1.03,Vitaly Janelt,full_name,brentford
9679,Rico Henry,194010,1.03,Rico Henry,full_name,brentford
9678,Ethan Pinnock,231065,1.03,Ethan Pinnock,full_name,brentford
9677,Kristoffer Ajer,191866,1.03,Kristoffer Ajer,full_name,brentford
9667,Amadou Onana,449871,1.03,Amadou Onana,full_name,aston villa
9662,Dango Ouattara,533463,1.03,Dango Ouattara,full_name,brentford
9556,William Osula,538207,1.03,William Osula,full_name,newcastle
9554,Tim Iroegbunam,490094,1.03,Tim Iroegbunam,full_name,everton
9524,Anthony Elanga,449434,1.03,Anthony Elanga,full_name,newcastle
9332,Dane Scarlett,490145,1.03,Dane Scarlett,full_name,spurs
9328,Jeremie Frimpong,216094,1.03,Jeremie Frimpong,full_name,liverpool
11132,Ethan Nwaneri,499175,1.03,Ethan Nwaneri,full_name,arsenal
11155,Wilfried Gnonto,492859,1.03,Wilfried Gnonto,full_name,leeds
11167,Chadi Riad,515621,1.03,Chadi Riad Dnanou,web_name,crystal palace
13387,Romain Esse,606921,1.03,Romain Esse,full_name,crystal palace
13716,Noah Sadiki,577669,1.03,Noah Sadiki,full_name,sunderland
13713,Trai Hume,487676,1.03,Trai Hume,full_name,sunderland
13711,Maxim De Cuyper,465730,1.03,Maxim De Cuyper,full_name,brighton
13692,Rio Ngumoha,611922,1.03,Rio Ngumoha,full_name,liverpool
13532,Sean Neave,599303,1.03,Sean Neave,full_name,newcastle
13476,Shumaira Mheuka,567119,1.03,Shumaira Mheuka,full_name,chelsea
13392,Andrés García,606798,1.03,Andrés García,full_name,aston villa
13298,Max Alleyne,494307,1.03,Max Alleyne,full_name,man city
11174,Kobbie Mainoo,516895,1.03,Kobbie Mainoo,full_name,man utd
13222,Thiago,502500,1.03,Igor Thiago Nascimento Rodrigues,web_name,brentford
13150,Jack Fletcher,547037,1.03,Jack Fletcher,full_name,man utd
13091,Jaydee Canvot,651426,1.03,Jaydee Canvot,full_name,crystal palace
13080,Ayden Heaven,606745,1.03,Ayden Heaven,full_name,man utd
13068,Morato,485047,1.03,Felipe Rodrigues da Silva,web_name,nott m forest
13038,Justin Devenny,489706,1.03,Justin Devenny,full_name,crystal palace
12963,Evanilson,444102,1.03,Francisco Evanilson de Lima Barbosa,web_name,bournemouth
13717,Chemsdine Talbi,549912,1.03,Chemsdine Talbi,full_name,sunderland
13719,Chris Rigg,554197,1.03,Chris Rigg,full_name,sunderland
13775,Estêvão,624773,1.03,Estêvão Almeida de Oliveira Gonçalves,web_name,chelsea
13776,Jorrel Hato,551210,1.03,Jorrel Hato,full_name,chelsea
14424,Nilson Angulo,536661,1.03,Nilson Angulo,full_name,sunderland
14410,Souza,616221,1.03,João Victor de Souza Menezes,web_name,spurs
14395,Rayan,499604,1.03,Rayan Vitor Simplício Rocha,web_name,bournemouth
14374,Alex Tóth,614574,1.03,Alex Tóth,full_name,bournemouth
14198,Shea Lacey,576628,1.03,Shea Lacey,full_name,man utd
14193,George Hemmings,577285,1.03,George Hemmings,full_name,aston villa
14118,Charalampos Kostoulas,647850,1.03,Charalampos Kostoulas,full_name,brighton
14030,Kevin,560552,1.03,Kevin Santos Lopes de Macedo,web_name,fulham
14029,Tom Watson,549074,1.03,Tom Watson,full_name,brighton
14028,Stefanos Tzimas,608181,1.03,Stefanos Tzimas,full_name,brighton
14027,Veljko Milosavljevic,620487,1.03,Veljko Milosavljevic,full_name,bournemouth
13872,Max Dowman,616077,1.03,Max Dowman,full_name,arsenal
13835,Joël Piroe,235826,1.03,Joël Piroe,full_name,leeds
13778,Igor Jesus,482973,1.03,Igor Jesus Maciel da Cruz,web_name,nott m forest
13777,Rio Cardines,590014,1.03,Rio Cardines,full_name,crystal palace
12916,Thierno Barry,586309,1.03,Thierno Barry,full_name,everton
12912,Lucas Bergvall,570526,1.03,Lucas Bergvall,full_name,spurs
12905,Nicolò Savona,500151,1.03,Nicolò Savona,full_name,nott m forest
11711,Bart Verbruggen,489639,1.03,Bart Verbruggen,full_name,brighton
11709,Milos Kerkez,544877,1.03,Milos Kerkez,full_name,liverpool
