pos_group,date,player_team,npg,key_passes,shots,goals,xG,xA,xA_sum,npxG,npxG_sum,assists,xGChain,xGBuildup,opponent,npxG_share,xA_share,team_XG_avg,team_Rolling_Threat,Team_code,opp_XGC_avg,opp_Rolling_Threat_Against,xA2,Adjusted_XG,Adjusted_XA,Rolling_Adjusted_XG,Rolling_Adjusted_XA,Rolling_XG_Share,Rolling_XA_Share,Rolling_Adjusted_XG2,Rolling_Adjusted_XA2,XGIndex,XAIndex
FW,2024-11-09,Wolves,0.0,0.0,1.0,0.0,0.0452735163271427,0.0,0.0,0.0452735163271427,0.0452735163271427,0.0,0.0,0.0,Southampton,0.04955785821594076,0.0,0.9729093570194128,1.1643755305113936,39,2.058207232303136,1.777998304884324,0.0,0.023603279797325606,0.0,0.17510442179504346,0.05847881566110789,0.19598681045754643,0.12609285918315105,0.11335758492181928,0.028955190757555434,0.14423100335843136,0.04371700320933166
FW,2024-11-23,Wolves,0.0,1.0,1.0,0.0,0.1273147165775299,0.3590275645256042,0.3590275645256042,0.1273147165775299,0.1273147165775299,1.0,0.4863422811031341,0.0,Fulham,0.09507974140372549,0.41996919778523406,1.0144433593397362,1.133828589197469,39,1.2652403847107194,1.1893417496654295,0.6795137822628021,0.10373636701294409,0.5536696228219765,0.1683074641967483,0.12037766655621646,0.18637661340480158,0.15408108190715897,0.11158826570383837,0.03831309168007297,0.13994786495029332,0.07934537911814471
FW,2024-11-30,Wolves,2.0,0.0,3.0,2.0,0.6279267072677612,0.0,0.0,0.6279267072677612,0.6279267072677612,0.0,0.6097366213798523,0.0,Bournemouth,0.7250597725780511,0.0,1.0679433593397365,1.1583500155477855,39,1.507346357418172,1.5140600152656658,0.0,0.4156519380807356,0.0,0.19186408075712805,0.1053304582366894,0.23767977142130153,0.1394066931540962,0.12293956105127168,0.03541910619608816,0.15740182090419985,0.07037478221638878
FW,2024-12-04,Wolves,0.0,1.0,2.0,0.0,0.7523593306541443,0.0446290262043476,0.0446290262043476,0.7523593306541443,0.7523593306541443,0.0,0.7969883680343628,0.0446290262043476,Everton,0.8875051802466565,0.05444526866674915,1.0762821678369991,1.1198062636043125,39,1.2199105352206685,1.3223606453345462,0.0223145131021738,0.591879683338765,0.01755478587245005,0.22996080481252204,0.09435849919115949,0.2995679055951449,0.131315128917206,0.13996650407242167,0.03404572116662717,0.18496365444247187,0.06420211017889332
FW,2024-12-09,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3161773383617401,0.3161773383617401,West Ham,0.0,0.0,1.034321386745269,1.0535804806537734,39,1.7483435569901355,1.6837163043081096,0.0,0.0,0.0,0.20805977578275803,0.08256368679226456,0.2710376288717978,0.11880892616318639,0.12293956105127168,0.03112454734000384,0.16549966841701486,0.056844117066134195
FW,2024-12-14,Wolves,0.0,0.0,5.0,0.0,0.3514638841152191,0.0,0.0,0.3514638841152191,0.3514638841152191,0.0,0.719420313835144,0.429953783750534,Ipswich,0.28052401842807706,0.0,1.048666438433207,1.0756329205720518,39,2.029244691801667,1.7606017841938069,0.0,0.1854765813556606,0.0,0.2059089953611297,0.07224322594323149,0.27194109454382437,0.10749379033812102,0.1205653385637899,0.028175615938667145,0.1632371669624598,0.050209420940949316
FW,2024-12-22,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228843335062265,0.0228843335062265,Leicester,0.0,0.0,1.041244104526161,1.1261788055005453,39,2.0741493968391858,2.022128796402284,0.0,0.0,0.0,0.1862986148505459,0.06321282270032755,0.24604194268250776,0.09725628649639521,0.10921404321635658,0.02529023690989942,0.14775632903345126,0.04425152980511349
FW,2024-12-26,Wolves,0.0,0.0,1.0,0.0,0.0618270710110664,0.0,0.0,0.0618270710110664,0.0618270710110664,0.0,0.0618270710110664,0.0,Man Utd,0.07480693133477831,0.0,1.0666172994852,1.096656454812977,39,1.3749578492947758,1.265123698843173,0.0,0.04683724338338949,0.0,0.17301657947272148,0.0553112198627866,0.22973384636367639,0.08799378302054806,0.10434755587819997,0.023621029714552853,0.1386820676754607,0.039466124788669725
FW,2024-12-29,Wolves,1.0,0.0,1.0,1.0,0.0350088030099868,0.0,0.0,0.0350088030099868,0.0350088030099868,0.0,0.0,0.0,Spurs,0.0546417401840201,0.0,1.090141295021801,1.0570743979613548,39,1.533237251862475,1.6084328047527756,0.0,0.02228674709890085,0.0,0.15866135734188141,0.04839731737993828,0.21305840767989961,0.07961342273287682,0.09726625343855683,0.021765792670537108,0.12796380539021912,0.035081555025237694
FW,2025-01-06,Wolves,0.0,2.0,3.0,0.0,1.4798805713653564,0.1367037445306778,0.1367037445306778,1.4798805713653564,1.4798805713653564,0.0,1.509065866470337,0.0,Nott'm Forest,0.75336070459607,0.17629129925659717,1.0858355371331845,1.0386900982161855,39,1.2233377473796083,1.3692923994015516,0.0683518722653389,1.1416056186823866,0.05272782340373548,0.2522750965171676,0.04893863063291293,0.26451576929096343,0.08882083954465972,0.10861754878599014,0.02299141758456831,0.1804463226515789,0.03596502410874062
FW,2025-01-15,Wolves,0.0,2.0,2.0,0.0,0.3809521496295929,0.1441111862659454,0.1441111862659454,0.3809521496295929,0.3809521496295929,0.0,0.5250633358955383,0.0,Newcastle,0.25838986490879906,0.1780041253454899,1.047525338597801,1.1551038359391623,39,1.0620434593972106,1.098105912660507,0.0720555931329727,0.35270908073056545,0.06671352830043777,0.26184023787082455,0.05116049284135353,0.2639323498259954,0.09731448581140545,0.12564449180714013,0.02508547159313965,0.19374236483898233,0.03812298221724659
FW,2025-01-20,Wolves,0.0,0.0,2.0,0.0,0.142362356185913,0.0,0.0,0.142362356185913,0.142362356185913,0.0,0.142362356185913,0.0,Chelsea,0.1333903622847597,0.0,1.017435448483561,1.193215856446767,39,1.3064367060799813,1.238624420489473,0.0,0.11187342787149987,0.0,0.24755768453755553,0.04476543123618434,0.25149977958397296,0.08804643954365254,0.12324384040406695,0.023489370128305598,0.18540076247081125,0.03412740068224497
FW,2025-01-25,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,0.963112768755498,1.1878138743909212,39,0.7085046369814487,0.877625453352573,0.0,0.0,0.0,0.22398076220064547,0.0391697523316613,0.2275474196235946,0.07966106434901897,0.11835682131123659,0.02255794020921813,0.17116879175594102,0.030863846270439713
FW,2025-02-01,Wolves,0.0,0.0,3.0,0.0,1.029427170753479,0.0,0.0,1.029427170753479,1.029427170753479,0.0,1.3460904359817505,0.3166633248329162,Aston Villa,0.5012198843366991,0.0,0.9318086929553224,1.125587140092056,39,1.336336808939779,1.3820807718563934,0.0,0.757372361057185,0.0,0.2747799620917445,0.034273533290203634,0.2536114638819855,0.07207429631577907,0.1297081166586699,0.021024892677935943,0.20224403937520719,0.02764921298406979
FW,2025-02-16,Wolves,0.0,1.0,0.0,0.0,0.0,0.0670196935534477,0.0670196935534477,0.0,0.0,0.0,0.1140585988759994,0.0470388978719711,Liverpool,0.0,0.16877957609913985,1.0002068278984693,1.108638747580549,39,0.895752606857924,1.0559677945411814,0.03350984677672385,0.0,0.03433877798551684,0.24861044189253073,0.034281688877117786,0.22945799113132023,0.08128432296181343,0.12337926722092538,0.02171596377779293,0.18599485455672804,0.02799882632745536
FW,2025-02-22,Wolves,0.0,1.0,2.0,0.0,0.7334145307540894,0.4209138751029968,0.4209138751029968,0.7334145307540894,0.7334145307540894,1.0,1.2318462133407593,0.0775178223848342,Bournemouth,0.34664832651536653,0.4133575760927574,1.0152617208345072,1.1063089041329806,39,1.2988809099515346,1.4515739496480595,0.7104569375514984,0.5333041756306871,0.5166105054019504,0.27572413081997416,0.09457279094272186,0.24061897545361036,0.11291034706952238,0.1347305625683587,0.031073864700310462,0.20522734669416642,0.06282332782151616
FW,2025-02-25,Wolves,0.0,1.0,2.0,0.0,0.1612128764390945,0.036147654056549,0.036147654056549,0.1612128764390945,0.1612128764390945,0.0,0.1973605304956436,0.1223853975534439,Fulham,0.17294029873095648,0.09895443649101168,1.040854941910926,1.1017702911163578,39,1.1594877493481606,1.0937335596132556,0.0180738270282745,0.14309546585408672,0.016042655869081338,0.26309282939465156,0.0847565240585168,0.23417338719430997,0.11158121272871184,0.1342958914973784,0.03012559014140144,0.19869436044601496,0.05744105709995912
FW,2025-03-08,Wolves,0.0,1.0,1.0,0.0,0.0645234808325767,0.0370520651340484,0.0370520651340484,0.0645234808325767,0.0645234808325767,0.0,0.127674713730812,0.0260991621762514,Everton,0.07942016041245606,0.09501133368622501,1.0224646611731534,1.1390490047268131,39,1.0642031849309197,1.2729137145028455,0.0185260325670242,0.055216305909395795,0.01585374918260415,0.24329506525319863,0.07614367719902772,0.2194349846436572,0.11000312901037976,0.12921007685427202,0.029158101954909536,0.18625257105373533,0.052650889576968625
FW,2025-03-15,Wolves,2.0,0.0,2.0,2.0,0.3444389104843139,0.0,0.0,0.3444389104843139,0.3444389104843139,0.0,0.3946940898895263,0.0502551756799221,Southampton,0.6370025004277704,0.0,1.0036121257900312,1.1404178791359616,39,2.5236042931304725,2.064024781742235,0.0,0.15015987773330217,0.0,0.2344250473941609,0.06662571754914925,0.2592033194802394,0.09952664053320073,0.12189887310735725,0.025813938047498392,0.1781619602507591,0.04621982779832382
