,name,position,value,team_code,selected,web_name,DefCon,Risk_share_avg,Point_STD,offset,id,0,38
93,Blondy_Nna Noukeu,GKP,3.9,56,0.001,Nna Noukeu,0.0,0.3467252138080933,3.0,1,530,0,0.0
94,Borna_Sosa,DEF,4.8,31,0.001,Sosa,8.18,0.4072722799992923,3.0,1,259,0,0.19439056691783732
95,Boubacar_Kamara,MID,4.9,7,0.002,Kamara,9.51,0.1247464124678749,2.71,1,58,0,0.0
96,Boubacar_Traoré,MID,5.0,39,0.0,B.Traore,0.0,0.2146033922423808,0.55,1,649,0,0.0
97,Bradley_Burrowes,MID,4.3,7,0.001,Burrowes,5.62,0.102338601087511,3.0,1,702,0,0.1991029586185637
98,Braiden_Graham,FWD,4.5,11,0.0,Graham,0.0,0.058764204638474,3.0,1,779,0,0.0
99,Brajan_Gruda,MID,5.4,36,0.0,Gruda,7.37,0.265512163311927,1.87,1,162,0,0.0
100,Brandon_Austin,GKP,3.9,6,0.003,Austin,0.0,0.334216452741184,3.0,1,566,0,0.9752632298808285
101,Brayden_Clarke,DEF,3.7,3,0.005,Clarke,0.0,0.5297619044765821,3.0,1,13,0,0.0
102,Brenden_Aaronson,MID,5.4,2,0.009000000000000001,Aaronson,8.01,0.3651920909887924,1.92,1,350,0,2.0491092293415507
103,Brennan_Johnson,MID,6.5,31,0.024,Johnson,6.37,0.2899305478045614,0.61,1,580,0,2.183661574294799
104,Brian_Brobbey,FWD,5.3,56,0.009000000000000001,Brobbey,3.48,0.4737741411077872,2.12,1,730,0,3.917107817822092
105,Bruno_Borges Fernandes,MID,10.4,1,0.478,B.Fernandes,8.41,0.5147380023211043,2.77,1,449,0,4.921102354230359
106,Bruno_Guimarães Rodriguez Moura,MID,6.9,4,0.062,Bruno G.,9.3,0.4648339781366264,2.69,1,488,0,4.593705667922774
107,Bryan_Gil Salvatierra,MID,4.9,6,0.0,Bryan,0.0,0.2707239558152196,0.7,1,590,0,0.0
108,Bryan_Mbeumo,MID,8.3,1,0.149,Mbeumo,4.82,0.447995845853052,3.35,1,119,0,3.568377657190073
109,Bukayo_Saka,MID,10.0,3,0.13,Saka,7.47,0.4939449132358626,2.49,1,16,0,4.011476163492741
110,Caleb_Kporha,DEF,4.0,31,0.0,Kporha,0.0,0.4029766899878617,3.0,1,265,0,0.004942861371501185
111,Callan_McKenna,GKP,3.9,91,0.002,McKenna,0.0,0.3328865061824074,3.0,1,69,0,0.0
112,Callum_Bates,MID,4.3,11,0.001,Bates,0.0,0.1162636605328489,3.0,1,306,0,0.0
113,Callum_Hudson-Odoi,MID,5.7,17,0.006,Hudson-Odoi,5.19,0.2310824766372775,1.66,1,516,0,0.0
114,Callum_Marshall,FWD,4.3,21,0.005,Marshall,4.66,0.0550655110134621,3.0,1,626,0,0.0
