,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
89,7,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.04102603741041751,1.744,0.0,0.1678998978598227,0.1667530483262282,0.1,5,3,1.0,2,60,0.6,Garnacho
90,8,Alejandro_Garnacho,MID,7,56.0515497635278,0.10588298122354,0.14366279086747447,0.0,0.04195647923587022,1.744,0.0,0.1516710903983691,0.2184238478812329,0.1,5,3,1.0,2,60,0.6,Garnacho
91,2,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.09846989939287415,5.901999999999999,0.0,0.0913583302918664,0.106897037357724,0.08,5,3,1.0,2,55,1.0,Iwobi
92,3,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.10567227606432547,5.901999999999999,0.0,0.0774356102395545,0.1389842955635025,0.08,5,3,1.0,2,55,1.0,Iwobi
93,4,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.10740939996016374,5.901999999999999,0.0,0.0746710624183,0.1250281268953073,0.08,5,3,1.0,2,55,1.0,Iwobi
94,5,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.09551920717192008,5.901999999999999,0.0,0.12580389805788,0.0813250795760984,0.08,5,3,1.0,2,55,1.0,Iwobi
95,6,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.033574306717318946,5.901999999999999,0.0,0.0848838497997743,0.1158236933516472,0.08,5,3,1.0,2,55,1.0,Iwobi
96,7,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.07630671124444184,5.901999999999999,0.0,0.0848838497997743,0.1158236933516472,0.08,5,3,1.0,2,55,1.0,Iwobi
97,8,Alex_Iwobi,MID,54,90.0,0.09120029916066406,0.15748710075074088,0.0,0.0806369792011596,5.901999999999999,0.0,0.0848838497997743,0.1158236933516472,0.08,5,3,1.0,2,55,1.0,Iwobi
98,2,Alex_Murphy,DEF,4,0.74562922,0.0,0.0,0.0,0.03678863031337342,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.1,A.Murphy
