opponent,pos_group,Threat,Goal_Threat,Assist_Threat,Understat_XG_Against,Understat_XA_Against,N_players_avg,Rolling_Goals_Against_Per_Position_20,npxG_ewm,xA_ewm
Everton,DR,0.02012431485697211,0.02012431485697211,0.07210262824978825,0.026854632820126626,0.08525432176570599,1.0,0.0,0.026854632820126626,0.08525432176570599
Everton,FW,0.24633814625530234,0.24633814625530234,0.07891350848449094,0.3287227671746004,0.09330752300305112,1.0256218141454483,0.2,0.3287227671746004,0.09330752300305112
Everton,LW,0.14783400020712298,0.14783400020712298,0.15035589762825313,0.19727517791828758,0.1777811764553574,1.0,0.15,0.19727517791828758,0.1777811764553574
Everton,MC,0.11548808406493771,0.11548808406493771,0.1209849541207162,0.11746766728322275,0.09839586010367533,2.262410325086746,0.25,0.11746766728322275,0.09839586010367533
Everton,RW,0.12563999113310398,0.12563999113310398,0.12460611895029641,0.16765866830167078,0.1473345759625011,1.0,0.15,0.16765866830167078,0.1473345759625011
Fulham,AMC,0.15325852333244547,0.15325852333244547,0.18698622394519154,0.21796578762378988,0.2749043122473174,1.2398654368430169,0.3,0.21796578762378988,0.2749043122473174
Fulham,CB,0.027683349525922545,0.027683349525922545,0.025248403641155,0.03937153348654867,0.037119820336865346,2.2090496689281975,0.0,0.03937153348654867,0.037119820336865346
Fulham,DL,0.049641410100970604,0.049641410100970604,0.08281317249488421,0.07060050440354823,0.12175067098203753,1.0,0.1,0.07060050440354823,0.12175067098203753
Fulham,DM,0.04478371392074046,0.04478371392074046,0.0635363288254532,0.06369184085297894,0.09341014760317468,1.951419233458343,0.15,0.06369184085297894,0.09341014760317468
Fulham,DR,0.027577667871643712,0.027577667871643712,0.08169061676723453,0.03922123199263238,0.12010030656610454,1.0,0.0,0.03922123199263238,0.12010030656610454
Fulham,FW,0.2635916056637882,0.2635916056637882,0.09125827020324527,0.37488258851939354,0.1341665256284145,1.1615798356686708,0.25,0.37488258851939354,0.1341665256284145
Fulham,LW,0.1365042084338445,0.1365042084338445,0.1817091815937244,0.19413763527333955,0.26714608456763944,1.0,0.2,0.19413763527333955,0.26714608456763944
Fulham,MC,0.10005890203560043,0.10005890203560043,0.09021809840912584,0.11594487622954187,0.08807353561086446,2.495095752798026,0.35,0.11594487622954187,0.08807353561086446
Fulham,RW,0.14152837882576705,0.14152837882576705,0.13618451460485093,0.20128306009422248,0.20021640918934672,1.0,0.15,0.20128306009422248,0.20021640918934672
Hull City,AMC,0.15070848158924205,0.15070848158924205,0.15577914559991574,0.2002878928218893,0.1782721774391009,1.11081990361002,0.0,0.2002878928218893,0.1782721774391009
Hull City,CB,0.04351802548517901,0.04351802548517901,0.04366808784178608,0.05577302006677286,0.04707374127709708,2.1251913161182445,0.0,0.05577302006677286,0.04707374127709708
Hull City,DL,0.026391337329293996,0.026391337329293996,0.1017981976416461,0.03454961291045689,0.11142102059789367,1.0,0.0,0.03454961291045689,0.11142102059789367
Hull City,DM,0.05072448168292622,0.05072448168292622,0.08012510142653737,0.06976769895327578,0.09448859523201233,1.9667301056823774,0.0,0.06976769895327578,0.09448859523201233
Hull City,DR,0.025295109495828506,0.025295109495828506,0.09754133962238287,0.03237195195633411,0.10724057313058705,1.0,0.0,0.03237195195633411,0.10724057313058705
Hull City,FW,0.27349165580911017,0.27349165580911017,0.14940574919870264,0.3565761729930791,0.16264700510646754,1.0511427876947246,0.25,0.3565761729930791,0.16264700510646754
Hull City,LW,0.17229793672395133,0.17229793672395133,0.12866632760601238,0.23084658588108997,0.15075845743577262,1.0000000000020965,0.25,0.23084658588108997,0.15075845743577262
Hull City,RW,0.15973518293201416,0.15973518293201416,0.12898472968188102,0.21847008996645176,0.1536067801147368,1.0014195009764282,0.0,0.21847008996645176,0.1536067801147368
Ipswich Town,AMC,0.20669641362337018,0.20669641362337018,0.22837162597810753,0.29893649611194983,0.24104053013009827,1.1400009272666223,0.3,0.29893649611194983,0.24104053013009827
Ipswich Town,CB,0.028045461585735842,0.028045461585735842,0.020265370227674422,0.040560994123287696,0.021389590594015497,2.1200050967177244,0.2,0.040560994123287696,0.021389590594015497
Ipswich Town,DL,0.01110881633294201,0.01110881633294201,0.06351886906501494,0.016066222786873807,0.06704257504460397,1.0,0.0,0.016066222786873807,0.06704257504460397
Ipswich Town,DM,0.04922722920200009,0.04922722920200009,0.08457931410726749,0.09626432681394288,0.1321137605648463,1.937491369756019,0.05,0.09626432681394288,0.1321137605648463
Ipswich Town,DR,0.049457221647590206,0.049457221647590206,0.11781404755490485,0.07152793939474075,0.12434977575598291,1.0,0.1,0.07152793939474075,0.12434977575598291
Ipswich Town,FW,0.32046462682823396,0.32046462682823396,0.14899099712875616,0.4634747695546098,0.15725626499664216,1.0200041542690177,0.65,0.4634747695546098,0.15725626499664216
Ipswich Town,LW,0.16984901333097663,0.16984901333097663,0.12226586767471224,0.3321414020932659,0.19098054574838608,1.0,0.35,0.3321414020932659,0.19098054574838608
Ipswich Town,MC,0.1353164662819071,0.1353164662819071,0.15488967277654786,0.19570262293119203,0.1634821693712317,2.3461157048109973,0.3,0.19570262293119203,0.1634821693712317
Ipswich Town,RW,0.20261975259480877,0.20261975259480877,0.2022061237943441,0.3962249023342235,0.3158480499124339,1.0,0.5,0.3962249023342235,0.3158480499124339
Leeds,AMC,0.10340945853654182,0.10340945853654182,0.12517688941522362,0.13259412861555675,0.14223791621923085,1.2326222588932705,0.2,0.13259412861555675,0.14223791621923085
Leeds,CB,0.05068418064686788,0.05068418064686788,0.03246262866718239,0.06498849198683422,0.036887133704866897,2.288727930751869,0.05,0.06498849198683422,0.036887133704866897
Leeds,DL,0.0145442090574449,0.0145442090574449,0.09714090326101782,0.01864893940715228,0.11038075577727743,1.0,0.0,0.01864893940715228,0.11038075577727743
Leeds,DM,0.09429660609110553,0.09429660609110553,0.10796609674659904,0.12090940706005428,0.1226813726982776,1.9513100696199006,0.15,0.12090940706005428,0.1226813726982776
Leeds,DR,0.03557649151027013,0.03557649151027013,0.06889548896903548,0.04561704468586973,0.07828562311813464,1.0,0.0,0.04561704468586973,0.07828562311813464
Leeds,FW,0.26160289571989065,0.26160289571989065,0.03976509613470272,0.33543361015692685,0.04518489346460489,1.0859630935454958,0.25,0.33543361015692685,0.04518489346460489
Leeds,LW,0.11933062166547041,0.11933062166547041,0.17415207460002538,0.1530086321000754,0.1978881909598808,1.0,0.15,0.1530086321000754,0.1978881909598808
Leeds,MC,0.08855687451933263,0.08855687451933263,0.11518970799104494,0.08575090530275759,0.07524520531489914,2.4718326705559353,0.35,0.08575090530275759,0.07524520531489914
Leeds,RW,0.11898857058782493,0.11898857058782493,0.17735882946871762,0.15257004586991552,0.20153201157628595,1.0,0.2,0.15257004586991552,0.20153201157628595
Leicester,AMC,0.16873288612627052,0.16873288612627052,0.16809508008794327,0.31139583588326164,0.2816736662385462,1.2438729359432918,0.45,0.31139583588326164,0.2816736662385462
Leicester,CB,0.022484048518660673,0.022484048518660673,0.03420491840565978,0.041494217536637484,0.05731651851839992,2.228027396740712,0.05,0.041494217536637484,0.05731651851839992
Leicester,DL,0.03429028092270996,0.03429028092270996,0.10815755794470869,0.06328257007711233,0.18123752260777337,1.0,0.05,0.06328257007711233,0.18123752260777337
Leicester,DM,0.05696237004828665,0.05696237004828665,0.10008043570335115,0.10512381576762604,0.1677028454881944,1.903870164122247,0.2,0.10512381576762604,0.1677028454881944
Leicester,DR,0.012544552751508599,0.012544552751508599,0.06277042133035904,0.023150919654834866,0.10518317786701621,1.0,0.0,0.023150919654834866,0.10518317786701621
Leicester,FW,0.27861711497836134,0.27861711497836134,0.06412265108964411,0.5141867208099731,0.10744908305410093,1.0438248209413912,0.5,0.5141867208099731,0.10744908305410093
Leicester,LW,0.14151244093223356,0.14151244093223356,0.11295860467840502,0.2611606180848271,0.18928254352424123,1.0,0.45,0.2611606180848271,0.18928254352424123
Leicester,MC,0.10200336350907847,0.10200336350907847,0.09849241704997114,0.1518203202561758,0.11439678432867939,2.4671715625664943,0.45,0.1518203202561758,0.11439678432867939
Leicester,RW,0.1523989618821365,0.1523989618821365,0.17334202960892367,0.28125164698193705,0.2904658778093424,1.0,0.35,0.28125164698193705,0.2904658778093424
Liverpool,AMC,0.1461070615014014,0.1461070615014014,0.21965498688429416,0.20873112299958752,0.23150808058482503,1.2371250089341888,0.3,0.20873112299958752,0.23150808058482503
Liverpool,CB,0.033309449700679984,0.033309449700679984,0.024820990604427755,0.04758646687624005,0.026160388956122153,2.24513121046593,0.0,0.04758646687624005,0.026160388956122153
Liverpool,DL,0.020120594449844344,0.020120594449844344,0.11000251962924515,0.0287446358292203,0.11593851129943089,1.0,0.0,0.0287446358292203,0.11593851129943089
Liverpool,DM,0.04036056595405337,0.04036056595405337,0.07559135673022378,0.05765981582216458,0.07967044205845979,1.9799673620329816,0.1,0.05765981582216458,0.07967044205845979
Liverpool,DR,0.019436536558563193,0.019436536558563193,0.053131514334026415,0.027767378670144012,0.05599861435659068,1.0,0.05,0.027767378670144012,0.05599861435659068
Liverpool,FW,0.31122499804347875,0.31122499804347875,0.11135748160701847,0.4446215171231586,0.1173665901752588,1.0948526933541953,0.55,0.4446215171231586,0.1173665901752588
Liverpool,LW,0.1550756625299444,0.1550756625299444,0.11313085805626748,0.22154382448838636,0.11923566214008624,1.0,0.2,0.22154382448838636,0.11923566214008624
Liverpool,MC,0.07718341794368538,0.07718341794368538,0.11329135162517341,0.08308213051075602,0.09953982365950814,2.531566294093225,0.3,0.08308213051075602,0.09953982365950814
Liverpool,RW,0.12917229092067506,0.12917229092067506,0.12467959184788739,0.18453781129561156,0.13140759245319766,1.0,0.15,0.18453781129561156,0.13140759245319766
Luton,AMC,0.13041301390121252,0.13041301390121252,0.20251764911976586,0.26126059798469237,0.31787049061640377,1.0871765289388715,0.2,0.26126059798469237,0.31787049061640377
Luton,CB,0.040001660301266645,0.040001660301266645,0.02016367924762005,0.08013661656961588,0.031648790329786715,2.1522137403764052,0.2,0.08013661656961588,0.031648790329786715
Luton,DL,0.02247303791301636,0.02247303791301636,0.0563856712317173,0.04502096185074616,0.08850261227139583,1.0,0.05,0.04502096185074616,0.08850261227139583
Luton,DM,0.050433273615027065,0.050433273615027065,0.06323799771484181,0.10103460405392158,0.09925798292932025,2.0,0.1875,0.10103460405392158,0.09925798292932025
Luton,DR,0.02531774018549002,0.02531774018549002,0.10918921627709388,0.05071984568574333,0.17138274070866116,1.0,0.05,0.05071984568574333,0.17138274070866116
Luton,FW,0.28422644654749796,0.28422644654749796,0.10399352774959182,0.5694000097590958,0.1632276190760256,1.121594232893886,0.9,0.5694000097590958,0.1632276190760256
Luton,LW,0.14608283765092658,0.14608283765092658,0.12631462274961353,0.29265246142453394,0.19826267626531902,1.0,0.2,0.29265246142453394,0.19826267626531902
Luton,MC,0.052945012231856776,0.052945012231856776,0.09777892650609005,0.1158334124083518,0.18037490969354655,2.575365873377347,0.3,0.1158334124083518,0.18037490969354655
Luton,RW,0.1585990030170843,0.1585990030170843,0.20142697097750137,0.31772649928485563,0.31615856872864195,1.0,0.35,0.31772649928485563,0.31615856872864195
Man City,AMC,0.13753967968635156,0.13753967968635156,0.2053448174099902,0.15000509915094012,0.17320918337690142,1.2805827277324504,0.1,0.15000509915094012,0.17320918337690142
Man City,CB,0.02950518527720016,0.02950518527720016,0.016848636469354084,0.03217928275728321,0.014211892954884581,2.440866375863822,0.05,0.03217928275728321,0.014211892954884581
Man City,DL,0.0379124222298645,0.0379124222298645,0.08352855378490469,0.04134847971590465,0.0704566726943509,1.0,0.05,0.04134847971590465,0.0704566726943509
Man City,DM,0.04239188546177152,0.04239188546177152,0.06359097056718496,0.0462339231586807,0.053639240673384596,1.9999999999999702,0.1,0.0462339231586807,0.053639240673384596
Man City,DR,0.02024549137031859,0.02024549137031859,0.03834416191393639,0.022080369441673967,0.03234345554056087,1.0,0.1,0.022080369441673967,0.03234345554056087
Man City,FW,0.2986464959558782,0.2986464959558782,0.11285615598719063,0.3257132584509562,0.0951946236781259,1.1431140493492136,0.3,0.3257132584509562,0.0951946236781259
Man City,LW,0.1686231544332925,0.1686231544332925,0.17986950633889892,0.18390571402806866,0.1517206555311454,1.0,0.15,0.18390571402806866,0.1517206555311454
Man City,MC,0.04754208077534402,0.04754208077534402,0.13956589578492729,0.03755396995917144,0.09574697894008165,2.3628968127438448,0.05,0.03755396995917144,0.09574697894008165
