fpl_name,fpl_web_name,understat_player_name,match_score,matched_on,player_name,Matched_Pos_List,Matched_Pos_Pct_List,Test
Reinildo_Mandava,Reinildo,Reinildo,90.0,name-relaxed,Reinildo,['DL'],[1.0],1
Jenson_Seelt,Seelt,Jenson Seelt,100.0,name-strict,Jenson Seelt,['CB'],[1.0],1
Leo_Fuhr Hjelde,Hjelde,Unknown for understat,,no-match,,['SUB'],[1.0],1
Luke_O'Nien,O'Nien,Luke O&#039;Nien,95.0,name-strict,Luke O&#039;Nien,"['CB', 'DR']","[0.8, 0.2]",1
Arthur_Masuaku,Masuaku,Arthur Masuaku,100.0,name-strict,Arthur Masuaku,['DL'],[1.0],1
Thomas_Meunier,Meunier,Unknown for understat,,no-match,,['SUB'],[1.0],1
Enzo_Le Fée,E.Le Fée,Enzo Le Fée,100.0,name-strict,Enzo Le Fée,"['LW', 'AMC']","[0.2, 0.8]",1
Habib_Diarra,Diarra,Habib Diarra,100.0,name-strict,Habib Diarra,"['AMC', 'MC']","[0.7142857142857143, 0.2857142857142857]",1
Granit_Xhaka,Xhaka,Granit Xhaka,100.0,name-strict,Granit Xhaka,['DM'],[1.0],1
Noah_Sadiki,Sadiki,Noah Sadiki,100.0,name-strict,Noah Sadiki,"['DM', 'MC']","[0.8, 0.2]",1
Simon_Adingra,Adingra,Simon Adingra,100.0,name-strict,Simon Adingra,['LW'],[1.0],1
Romaine_Mundle,Mundle,Romaine Mundle,100.0,name-strict,Romaine Mundle,['LW'],[1.0],1
Chris_Rigg,Rigg,Chris Rigg,100.0,name-strict,Chris Rigg,['RW'],[1.0],1
Chemsdine_Talbi,Talbi,Chemsdine Talbi,100.0,name-strict,Chemsdine Talbi,"['LW', 'RW']","[0.8333333333333334, 0.16666666666666666]",1
Djiamgone_Jocelin Ta Bi,Jocelin.T,Djiamgone Jocelin Ta Bi,100.0,name-strict,Djiamgone Jocelin Ta Bi,['RW'],[1.0],1
Nilson_Angulo,Angulo,Nilson Angulo,100.0,name-strict,Nilson Angulo,"['LW', 'RW']","[0.8, 0.2]",1
Brian_Brobbey,Brobbey,Brian Brobbey,100.0,name-strict,Brian Brobbey,['FW'],[1.0],1
Wilson_Isidor,Isidor,Wilson Isidor,100.0,name-strict,Wilson Isidor,['FW'],[1.0],1
Christos_Tzolis,Christos_Tzolis,Christos Tzolis,100.0,name-strict,Wilson Isidor,['LW'],[1.0],1
Gonzalo_García,Gonzalo_García,CGonzalo_García,100.0,name-strict,Wilson Isidor,['FW'],[1.0],1

